fir_id,fir_text,bns_section
111,A group of five men gang-raped me after stopping my vehicle on the highway at night.,68
112,Multiple accused persons committed gang rape on the victim in the factory premises.,68
113,A group of men abducted me and committed gang rape on me over two days.,68
114,Four accused persons gang raped the victim in a secluded location outside the village.,68
115,Three men assaulted and gang raped me when I was returning home from college.,68
116,The accused promised to marry me and had sex with me repeatedly but later refused to marry.,69
117,The man deceived me by showing a fake marriage certificate and had sex with me.,69
118,The accused had sexual intercourse with me by falsely claiming he would divorce and marry me.,69
119,The man had sex with me promising marriage but later revealed he was already married.,69
120,The accused used deceit to convince me he was single and had sexual intercourse with me.,69
121,A group of six men gang-raped my 16-year-old daughter after abducting her from school.,70
122,Three men gang raped a 17-year-old girl and dumped her on the road.,70
123,A group raped my 15-year-old daughter in the factory premises.,70
124,The accused group raped my 14-year-old daughter in a moving vehicle.,70
125,Multiple accused committed gang rape on a 16-year-old girl in the village outskirts.,70
126,The accused previously convicted for rape has committed rape again on another victim.,71
127,A convict out on parole after rape conviction again sexually assaulted a woman.,71
128,The accused with a prior rape conviction was found to have raped another woman.,71
129,A repeat offender previously convicted under rape sections committed rape again.,71
130,The accused despite being convicted for rape earlier has been found guilty of raping again.,71
131,A journalist published the full name and photo of the rape victim in his online article.,72
132,The accused published the identity of a rape victim on social media revealing her address.,72
133,A news channel broadcast the name and identity of the rape victim during prime time news.,72
134,The accused posted the victim's identity details on a WhatsApp group publicly.,72
135,A website published the rape victim's full name and address on their website.,72
136,My male colleague repeatedly makes sexually coloured remarks at the workplace.,73
137,The supervisor demanded sexual favours from me in exchange for a promotion.,73
138,My boss sends me inappropriate sexual messages creating a hostile work environment.,73
139,An employee showed pornographic content to female colleagues and made indecent comments.,73
140,The manager made demands for sexual favours in exchange for keeping my job.,73
141,A man touched me inappropriately and tried to outrage my modesty on a public bus.,74
142,The accused groped me in the crowded market and ran away when I raised an alarm.,74
143,An unknown man grabbed me from behind and outraged my modesty near the park.,74
144,The accused tried to forcefully kiss me and touch me inappropriately at the workplace.,74
145,A neighbour entered my house and assaulted me intending to outrage my modesty.,74
146,My workplace manager sends explicit sexual messages and makes unwelcome physical contact.,75
147,The accused colleague makes explicit sexual demands and comments in the office.,75
148,The supervisor showed pornographic content to me forcibly on his phone at workplace.,75
149,My boss makes explicit sexual overtures threatening career consequences if I refuse.,75
150,The accused regularly makes sexually coloured remarks to female employees.,75
151,A peeping tom was caught recording me through the bathroom window using a hidden camera.,76
152,The accused installed a hidden camera in the women's changing room in the gym.,76
153,My neighbour captured my videos without consent through a hole in the wall.,76
154,The accused photographed me in a compromising state in the hotel room without my knowledge.,76
155,A man was found recording women in the ladies section of the store.,76
156,An unknown man has been following me to work and back home every day for a month.,77
157,The accused keeps calling me dozens of times daily despite my clear refusal.,77
158,A person monitors my social media and keeps showing up at all my locations.,77
159,Despite a prior complaint the accused continues to follow and stalk me daily.,77
160,The stalker appears near my house and follows me whenever I step outside.,77
161,A man made obscene gestures at me when I was walking on the road.,78
162,The accused made lewd remarks and gestures at me in the public market.,78
163,A neighbour repeatedly shouts obscene words at me when I step outside.,78
164,The accused made indecent gestures at me through his window when I passed.,78
165,A man at the bus stop made obscene sounds intending to insult my modesty.,78
166,My neighbour tried to kidnap me to force me to marry him against my will.,79
167,The accused and his friends abducted me with the intent of forcing me to marry the accused.,79
168,A group of men kidnapped me and threatened to keep me until I agreed to marry.,79
169,The accused's family forcibly took me and forced me into a marriage ceremony.,79
170,The accused abducted me to force me into a marriage I never consented to.,79
171,My husband and in-laws harassed me for dowry and I died under suspicious circumstances.,80
172,My daughter-in-law was found burnt to death within three years of marriage after dowry demands.,80
173,The accused and his family tortured my daughter demanding a car as dowry resulting in her death.,80
174,My wife was killed by her husband after repeated harassment for additional dowry.,80
175,My sister died suspiciously within two years of marriage after continuous dowry demands.,80
176,The accused made me believe I was legally married to him using fake marriage documents.,81
177,A man lived with me for years by making me believe we were legally married.,81
178,The accused produced false temple records making me believe our marriage was legally valid.,81
179,The man had sexual relations with me for years falsely claiming we were husband and wife.,81
180,The accused convinced me through forged documents that we were married and cohabited with me.,81
181,The accused married my daughter while his first wife is still alive.,82
182,The accused married another woman while he is already legally married to me.,82
183,The accused's second marriage is void as his first wife is alive with no divorce.,82
184,The accused married for the third time without any legal divorce from prior spouses.,82
185,The accused contracted a second marriage without disclosing that his first wife is alive.,82
186,The accused went through a marriage ceremony with me knowing it was not lawful.,83
187,The accused conducted fake marriage rituals knowing he was not legally marrying the victim.,83
188,The accused performed all marriage rites fraudulently knowing the marriage was invalid.,83
189,The accused deliberately arranged a fake marriage ceremony to deceive the victim's family.,83
190,The man went through elaborate marriage ceremonies dishonestly knowing it was legally void.,83
191,The accused took away my wife from my house under false pretexts for illicit intercourse.,84
192,The accused enticed my wife away with gifts and took her to his house for illicit purposes.,84
193,A man lured my wife away under pretence of a job for illicit intercourse.,84
194,The accused enticed away my wife and kept her with him for illicit purposes.,84
195,The accused concealed my wife in his house after taking her away for illicit intercourse.,84
196,My husband beats me regularly and his parents torture me for bringing less dowry.,85
197,My in-laws and husband abuse me daily and do not let me meet my parents.,85
198,The accused and his mother harassed me daily with unmet dowry demands.,85
199,My husband drinks daily and beats me causing serious injuries on my body.,85
200,My in-laws harassed me for three years demanding more gold and cash causing mental torture.,85
201,The accused administered medicine to my pregnant wife causing her to miscarry.,86
202,The accused gave my daughter pills causing her to miscarry without her consent.,86
203,A quack doctor administered injections causing my wife to miscarry her pregnancy.,86
204,The accused gave herbal medicines to my pregnant sister forcing her to miscarry.,86
205,The accused performed a procedure on my wife without consent causing miscarriage.,86
206,The accused forcibly administered pills to my wife causing miscarriage without her knowledge.,87
207,The accused gave injections to my wife while unconscious causing her to miscarry.,87
208,Without consent of my daughter the accused performed a procedure causing her to miscarry.,87
209,The accused administered something to my pregnant wife against her will causing miscarriage.,87
210,The accused forced my wife to take medicines to cause miscarriage which she firmly refused.,87
211,The accused forced my wife to take abortion medicines and she died due to complications.,88
212,A backstreet abortionist performed an illegal procedure on my wife causing her death.,88
213,The accused gave medicines to cause miscarriage and my wife's death resulted from it.,88
214,An unlicensed person performed an abortion on my daughter leading to her death.,88
215,The accused forced an abortion on my wife against her will and she died from complications.,88
216,The accused deliberately caused harm to my pregnant wife to prevent the child being born.,89
217,A person performed an act on my wife with intention of causing the child to die after birth.,89
218,The accused administered something to prevent the child from being born alive.,89
219,The accused caused injury to my wife resulting in the death of the newborn baby.,89
220,A person deliberately prevented birth of my child by harming my wife during late pregnancy.,89
221,The accused abandoned his infant daughter in an empty field intending to never return.,90
222,Parents left a six-month-old baby outside the hospital with a note abandoning the child.,90
223,The accused deliberately left his three-year-old child on the railway platform and fled.,90
224,A child under two years was found abandoned by its parents near the temple.,90
225,The accused mother left her newborn infant on the roadside in the cold intending to abandon.,90
226,The accused secretly buried a newborn baby to conceal the birth from family.,91
227,A person disposed of the dead body of a newborn child in a dustbin to conceal the birth.,91
228,The accused threw the newborn's body in a river to conceal that the child was born.,91
229,A woman secretly buried her newborn baby in the backyard to hide the birth.,91
230,The accused concealed the birth by secretly disposing of the dead body of the newborn.,91
231,The accused hired my 12-year-old son to carry drugs across the city for his gang.,92
232,The accused employed a 10-year-old child to steal goods from shops.,92
233,The accused used children under 14 years to commit theft in crowded places.,92
234,The accused hired a minor child to break into houses as he could enter small openings.,92
235,The accused used minor children to transport stolen goods across the city.,92
236,The accused was convicted of stalking before and has again been found stalking me.,93
237,The accused is a repeat stalker who was previously convicted and is stalking again.,93
238,The accused who was convicted for stalking on a prior occasion is stalking another victim.,93
239,The accused has been convicted of stalking twice now having committed it again.,93
240,The accused after prior conviction for stalking has again committed the same offence.,93
241,The accused was compelled to do the act under immediate threat of death from another person.,94
242,The accused acted under immediate death threat and had no choice but to comply.,94
243,I was forced to commit the act under immediate threat to my life by the real accused.,94
244,The accused was under imminent threat of instant death and was compelled to act.,94
245,The accused had no choice but to comply because of an immediate and real threat of death.,94
246,The accused punched me in the stomach causing severe abdominal pain requiring medical attention.,95
247,My neighbour slapped me multiple times causing pain and swelling on my cheek.,95
248,The accused hit me with a wooden stick on my back causing severe pain and bruising.,95
249,A group of men beat me on the street causing multiple bruises all over my body.,95
250,The accused threw a stone at me which hit my shoulder causing pain and injury.,95
251,The accused hit me with an iron rod causing a deep fracture in my skull.,96
252,My eye was permanently damaged when the accused threw acid on my face.,96
253,The accused amputated two fingers of my right hand with a blade during the assault.,96
254,My leg was shattered in three places when the accused attacked me with a heavy object.,96
255,The accused poured boiling water on my face causing permanent disfigurement.,96
256,The accused voluntarily punched me in the face causing a bleeding nose and swollen eye.,97
257,My colleague hit me with a chair during a workplace dispute causing injury to my shoulder.,97
258,The accused intentionally pushed me down the stairs causing injuries to my knees.,97
259,A man beat me with his fists outside the shop after a minor argument over space.,97
260,The accused kicked me in my stomach causing me to fall and injure my back.,97
261,The accused attacked me with an axe causing a deep gash on my thigh requiring surgery.,98
262,My skull was fractured when the accused struck me repeatedly with an iron rod.,98
263,The accused broke my arm with a cricket bat causing a serious fracture needing surgery.,98
264,My eyes were severely damaged when the accused attacked me with a sharp object.,98
265,The accused threw a heavy stone at my head causing a serious fracture and hospitalisation.,98
266,The accused stabbed me with a knife in the stomach at the market causing a deep wound.,99
267,The accused shot me with his pistol injuring my shoulder during the altercation.,99
268,The accused attacked me with a sharp sword causing a deep cut on my arm.,99
269,The accused threw acid at me causing burn injuries on my hands and face.,99
270,The accused stabbed me with a screwdriver in my back causing a serious puncture wound.,99
271,The accused beat me with an iron rod to force me to hand over property documents.,100
272,The accused intentionally caused injury to force me to sign property transfer documents.,100
273,The accused caused me hurt to force me to withdraw my legal complaint against him.,100
274,The accused beat me to compel me to repay an amount I do not legally owe.,100
275,The accused used violence against me to coerce me into an illegal act for his benefit.,100
276,The accused beat me and gouged my eye to force me to hand over property to him.,101
277,The accused caused grievous hurt by breaking my arm to compel me to sign business documents.,101
278,The accused caused permanent hearing damage to extort large sums of money from me.,101
279,The accused caused grievous hurt to my father to coerce him into selling family property.,101
280,The accused broke my legs to force me to reveal the location of the company cash reserves.,101
281,The accused stabbed the police officer who came to arrest him causing serious injury.,102
282,The accused attacked the revenue inspector with a weapon while he was on official duty.,102
283,The accused beat the health inspector who came to inspect the factory causing injury.,102
284,The accused assaulted the election observer to prevent him discharging his official duty.,102
285,The accused attacked the court process server when he came to serve a lawful notice.,102
286,The accused beat the magistrate grievously when he was pronouncing a lawful order.,103
287,The accused caused grievous hurt to the constable while he was making a lawful arrest.,103
288,The accused attacked the revenue officer with a heavy rod causing grievous head injury.,103
289,The accused caused grievous hurt to the police inspector who was on official duty.,103
290,The accused threw acid at the excise officer causing grievous burns while he was on a raid.,103
291,The accused hit me in a sudden fit of anger after I abused him very badly in public.,104
292,I slapped the accused after he abused me with offensive words in front of others.,104
293,After the accused used highly provocative language I caused hurt to him in sudden anger.,104
294,The accused punched the person who had just slapped him without any warning.,104
295,I hit the accused once because he had greatly insulted my deceased parent publicly.,104
296,The accused drove his vehicle rashly through the market endangering lives of shoppers.,105
297,The accused was driving his motorcycle recklessly at high speed endangering pedestrians.,105
298,The accused recklessly handled chemicals in his shop endangering the lives of residents.,105
299,The accused drove his tractor carelessly on a busy road putting many lives at risk.,105
300,The accused operated a machine without safety measures endangering the lives of workers.,105
301,The driver was speeding recklessly and hit my son on the road killing him on the spot.,106
302,The truck driver negligently ran over my wife while she was walking on the footpath.,106
303,A speeding bike rider knocked down and killed my mother at the road crossing.,106
304,The accused drove while drunk and rammed into my father causing fatal injuries.,106
305,The negligent driver ran a red light at high speed and killed my sister.,106
306,The accused fired a gun at me with clear intention to kill but missed and injured my arm.,107
307,The accused attacked me with a knife aiming at my neck clearly intending to kill me.,107
308,The accused poured kerosene on me and tried to light a match to set me on fire.,107
309,My business rival hired men to attack me with the clear intention of killing me.,107
310,The accused deliberately drove his car at me at high speed attempting to murder me.,107
311,The accused attacked me with an iron rod aiming at my head intending to seriously injure me.,108
312,The accused fired his gun at me intending to cause hurt likely to cause death.,108
313,The accused threw a heavy stone at me from above aiming at my head.,108
314,The accused stabbed at me with a knife but missed causing only a minor cut.,108
315,The accused pushed me off a moving vehicle intending to cause grievous hurt.,108
316,My son committed suicide after the accused continuously harassed and mentally abused him.,109
317,The accused systematically harassed my daughter for months forcing her to take her life.,109
318,My wife ended her life because the accused blackmailed her leaving no other option.,109
319,The accused drove my brother to suicide by publicly humiliating him repeatedly.,109
320,The victim hanged herself after being continuously tormented by the accused.,109
321,The accused threatened to attempt suicide in front of the government office to coerce an officer.,110
322,The accused attempted suicide in the police station demanding an officer be transferred.,110
323,A person tried to harm himself inside the government office to coerce public servants.,110
324,The accused threatened to end his life in front of the collector's office to compel action.,110
325,A person attempted self-harm inside the court premises to coerce the judge.,110
326,The accused is the leader of an organised crime gang involved in extortion and smuggling.,111
327,A crime syndicate extorted money from multiple businesses using threats and violence.,111
328,The accused organised and led a criminal gang that committed multiple robberies.,111
329,A criminal syndicate threatened to harm my family if I did not pay protection money.,111
330,An organised crime group kidnapped a local businessman and demanded a large ransom.,111
331,The accused is part of a gang that systematically commits mobile phone snatching.,112
332,A group of petty criminals steal goods from shops in a coordinated manner.,112
333,The gang to which the accused belongs commits cheating posing as government officials.,112
334,The accused is a member of a group engaged in unauthorised ticket touting.,112
335,A gang commits organised cheating posing as insurance agents to cheat senior citizens.,112
336,The accused was arrested planning a bomb blast at a crowded public market.,113
337,A terrorist planted explosives at the railway station to cause mass casualties.,113
338,The accused was found with materials to make explosive devices to spread terror.,113
339,The group planned coordinated attacks on multiple government buildings.,113
340,The accused was communicating with a foreign terrorist organisation to plan attacks in India.,113
341,The accused chased my brother with a weapon intending to kill him though he escaped.,114
342,The accused attacked my father with a heavy rod causing injuries that could have been fatal.,114
343,The accused poured acid on my colleague in a manner likely to cause death.,114
344,The accused fired his weapon toward a group of people which could have caused deaths.,114
345,The accused engaged in acts that could constitute culpable homicide but death did not occur.,114
346,The accused stabbed my brother with a knife during a fight resulting in his death.,115
347,The accused hit my father on the head with a heavy rod causing his death on the spot.,115
348,The accused shot my uncle three times resulting in his immediate death outside the market.,115
349,The accused poisoned my mother by adding something to her food and she died.,115
350,The accused deliberately ran over my son with his vehicle killing him on the road.,115
351,The accused murdered the prison warden while serving a life sentence inside jail.,116
352,A lifer attacked and killed a fellow prisoner during a dispute inside prison.,116
353,The person serving life imprisonment committed murder inside the jail premises.,116
354,The accused serving a sentence of life imprisonment committed another murder in prison.,116
355,The life convict attacked the jail official with a weapon while serving his sentence.,116
356,My brother committed suicide after the accused landlord continuously harassed and threatened him.,117
357,My colleague ended his life because the accused employer harassed and humiliated him daily.,117
358,The accused mentally tortured my father driving him to end his own life.,117
359,The victim a minor took his life after the accused bullied and threatened him for months.,117
360,The accused systematically drove my friend to depression and ultimately to suicide.,117
361,The accused attacked the off-duty police officer with an iron rod causing grievous injury.,118
362,The accused fired at the revenue official causing serious gunshot wounds during the raid.,118
363,The accused caused grievous hurt to the court process server when serving a warrant.,118
364,The accused threw acid at an excise officer on duty causing grievous burns to his face.,118
365,The accused shot the constable on duty causing grievous injury to both his legs.,118
366,The accused did not disclose the murder plan to police when he knew about it in advance.,119
367,The accused concealed knowledge of a planned terrorist attack from authorities.,119
368,The accused knew his associates planned to kill my father but did not report it.,119
369,The accused used encrypted messaging to conceal a conspiracy to commit a serious offence.,119
370,The accused was aware of a plot to commit robbery but actively concealed it from police.,119
371,The accused beat me with a stick to force me to reveal the location of the company safe.,120
372,The accused caused hurt to my father to extract information about our family's assets.,120
373,The accused injured me to compel me to sign documents transferring property to him.,120
374,The accused beat my son to force him to reveal passwords to company bank accounts.,120
375,The accused caused injury to my mother to compel me to withdraw money for him.,120
376,The accused broke my arm to compel me to reveal where all our family's gold is kept.,121
377,The accused caused grievous hurt to my father to force him to sell ancestral property.,121
378,The accused threw acid on my face to coerce me into signing property transfer documents.,121
379,The accused broke both my legs to force me to return money in a business dispute.,121
380,The accused caused serious grievous hurt to my brother to force him to give up his business.,121
381,The accused punched the police officer and broke his nose while resisting lawful arrest.,122
382,The accused threw stones at revenue officials preventing them from discharging official duty.,122
383,The accused stabbed the government health inspector when he came for an official visit.,122
384,The accused deliberately hurt election commission officials to disrupt the election process.,122
385,The accused hit the forest officer with a stick when he came to prevent illegal tree cutting.,122
386,The accused broke the police officer's arm with an iron rod while resisting arrest.,123
387,The accused caused grievous hurt to the municipal inspector who came to demolish illegal construction.,123
388,The accused broke the revenue officer's leg to prevent him from completing his survey.,123
389,The accused threw acid at the labour inspector causing grievous burns on official duty.,123
390,The accused shot the excise officer causing grievous hurt when he conducted a liquor raid.,123
391,The accused blocked my pathway with his vehicle and refused to let me pass for an hour.,124
392,My neighbour built a gate blocking my right of way preventing me from using my path.,124
393,The accused stood in front of my door for hours preventing me from entering my house.,124
394,My business rival hired people to block my shop entrance preventing customers from entering.,124
395,The accused deliberately parked his vehicle to block my exit daily for the past two weeks.,124
396,The accused locked me in a room for two days without food or water.,125
397,I was forcibly confined in the basement of the accused's house for four days.,125
398,The accused tied my hands and kept me in a room refusing to let me go.,125
399,My employer locked me in the office overnight refusing to let me leave.,125
400,The accused confined me in his vehicle for hours not allowing me to exit.,125
401,The accused wrongfully confined me to extort fifty thousand rupees from my family.,126
402,The accused confined me in his house for three days to force me to hand over property documents.,126
403,The accused locked me in a room to force me to sign a confession for something I did not do.,126
404,The accused confined my father in his house demanding money for his freedom.,126
405,The accused confined me in his vehicle demanding I transfer money to him.,126
406,The accused confined me in his house demanding information about our company's finances.,127
407,The accused wrongfully confined me demanding I return jewellery that I had not taken.,127
408,The accused confined my brother demanding he confess to a crime he had not committed.,127
409,The accused wrongfully confined my friend to extract a confession to benefit his case.,127
410,The accused confined me to force me to disclose the location of a valuable property document.,127
411,The accused raised his fist at me and made threatening gestures causing me to fear attack.,128
412,The accused picked up a heavy rod and gestured as if to strike me.,128
413,The accused approached me with a knife in hand making me fear he would attack.,128
414,The accused aimed a gun at me and made threatening gestures causing fear for my life.,128
415,The accused made preparation to attack me by picking up a stone in a threatening manner.,128
416,The accused shoved me from behind causing me to fall and injure my knee on the pavement.,129
417,The accused used force to snatch my bag causing me to fall on the road.,129
418,The accused pushed me into the road as a vehicle was passing causing danger.,129
419,The accused grabbed my arm and twisted it forcefully without any reason.,129
420,The accused used force against me to prevent me from entering my own office.,129
421,The accused assaulted me to commit theft of my mobile phone.,130
422,The accused used criminal force against me intending to annoy me in front of my family.,130
423,The accused pushed me and grabbed my chain to rob it using criminal force.,130
424,The accused used force to prevent me from calling police during an ongoing crime.,130
425,The accused used criminal force to prevent me from exercising my legal right to use the road.,130
426,The accused slapped me on grave and sudden provocation after I abused him badly.,131
427,I hit the accused once after he slapped my wife without any warning.,131
428,The accused struck me after I made an offensive remark about his father in anger.,131
429,On sudden provocation I pushed the accused causing him to fall and suffer minor hurt.,131
430,The accused raised his hand against me after I had just grievously insulted him publicly.,131
431,The accused attacked the police officer while he was trying to make a lawful arrest.,132
432,The accused assaulted the government official who was on duty.,132
433,The accused hit the revenue officer to prevent him from discharging his official functions.,132
434,The accused assaulted the income tax officer who came to search his premises.,132
435,The accused attacked the court bailiff when he came to execute a court order.,132
436,The accused publicly slapped my sister intending to humiliate her in the market.,133
437,The accused stripped and paraded the victim publicly to dishonour her before a crowd.,133
438,The accused publicly humiliated my mother by pouring garbage on her before witnesses.,133
439,The accused forcibly removed my wife's dupatta in public to dishonour her before others.,133
440,The accused made obscene and dishonourable remarks against my sister with criminal intent.,133
441,The accused grabbed my bag and pushed me while attempting to snatch my jewellery.,134
442,The accused used force against me while attempting to steal my mobile phone.,134
443,The accused pushed me from behind trying to grab my chain while I was walking home.,134
444,The accused assaulted me while attempting to snatch the bag I was carrying.,134
445,The accused grabbed my wrist forcefully while attempting to remove my gold bangle.,134
446,The accused grabbed and pushed me while trying to remove my gold necklace in the market.,135
447,The accused pushed me forcefully pulling my earrings from my ears causing injury.,135
448,The accused assaulted me while trying to outrage my modesty on the crowded bus.,135
449,The accused grabbed my arm causing pain while making an attempt to snatch my valuables.,135
450,The accused pushed me to the ground and tried to remove my jewellery in the street.,135
451,I reacted by slapping the person who had just grabbed me by my collar rudely.,136
452,I pushed away the accused who had grabbed my sister outraging her modesty.,136
453,On sudden provocation I hit the accused who had just tried to outrage my modesty.,136
454,I slapped the accused once on sudden anger after he made an obscene gesture at me.,136
455,I reacted physically when the accused made an inappropriate physical contact with me.,136
456,My 15-year-old daughter was kidnapped from outside her school and taken to an unknown location.,137
457,An unknown man forcibly took my minor son from the playground demanding ransom.,137
458,My sister was abducted by a group who took her away in a vehicle from the market.,137
459,The accused lured my 10-year-old nephew away with false promises and disappeared.,137
460,My wife was forcibly removed from our home by a group of armed men.,137
461,My daughter was lured away by the accused with a false promise of employment.,138
462,The accused forcibly abducted my brother from outside his office.,138
463,A man deceived my wife with false information and took her away from our home.,138
464,The accused forcibly pulled my elderly mother into a vehicle and drove away.,138
465,By threats and deception the accused forced my colleague to leave with him.,138
466,My brother was kidnapped and we received a message saying he would be killed for ransom.,139
467,The accused abducted my father and threatened to murder him if we called the police.,139
468,My cousin was kidnapped and taken to an isolated location where they planned to murder him.,139
469,The kidnappers took my son and threatened to kill him by morning if ransom not paid.,139
470,Three men abducted my employer and made it clear they intended to kill him.,139
471,The kidnappers sent a video of my son being beaten and demanded two crore rupees ransom.,140
472,The accused abducted my father and demanded five lakh rupees from our family.,140
473,The kidnappers threatened to harm my husband if we contacted police or media.,140
474,The accused abducted my daughter and demanded ransom threatening to kill her if we delayed.,140
